create_date,document_type,filing_document_id,url,edgar_filing_id,filing_agent_id,filing_agent_name,filing_date,filing_description,filing_id,filing_type_id,filing_type_mnemonic,link_to_detail_page,received_date,report_person_id,report_person_name,stock_exchange,stock_symbol
/Date(1537466379143-0500)/,CONVPDF,5040133,https://d18rn0p25nwr6d.cloudfront.net/CIK-0001069183/933d99d9-34e2-4ed4-8397-1ba6e120bca6.pdf,1602521,93023,BOWNE OF PHOENIX INC,2002-06-27T00:00:00Z,Amended Current report filing,1912760,136,8-K/A,/financials/sec-filings/sec-filings-details/default.aspx?FilingId=1912760,06/27/2002 07:05:43,NA,NA,CIK,0001069183
/Date(1537466379630-0500)/,CONVPDF,5040139,https://d18rn0p25nwr6d.cloudfront.net/CIK-0001069183/fc693d33-efa4-4bf5-904d-1e09c5390a5d.pdf,1602522,93023,BOWNE OF PHOENIX INC,2002-06-10T00:00:00Z,Current report filing,1897301,135,8-K,/financials/sec-filings/sec-filings-details/default.aspx?FilingId=1897301,06/10/2002 07:10:08,NA,NA,CIK,0001069183
/Date(1537466376983-0500)/,CONVPDF,5039805,https://d18rn0p25nwr6d.cloudfront.net/CIK-0001069183/9b8ba65a-c902-4115-badc-d42b5df3a7c6.pdf,1602465,93023,BOWNE OF PHOENIX INC,2003-10-20T00:00:00Z,Current report filing,2540433,135,8-K,/financials/sec-filings/sec-filings-details/default.aspx?FilingId=2540433,10/20/2003 15:06:01,NA,NA,CIK,0001069183
/Date(1537466377510-0500)/,CONVPDF,5039893,https://d18rn0p25nwr6d.cloudfront.net/CIK-0001069183/e2a0c05e-0276-4295-b1e4-ea3b3b885787.pdf,1602480,93023,BOWNE OF PHOENIX INC,2003-07-21T00:00:00Z,Current report filing,2394854,135,8-K,/financials/sec-filings/sec-filings-details/default.aspx?FilingId=2394854,07/21/2003 15:05:48,NA,NA,CIK,0001069183
/Date(1537466377557-0500)/,CONVPDF,5039899,https://d18rn0p25nwr6d.cloudfront.net/CIK-0001069183/1929da46-e1dd-46f0-a651-90980fde5a0f.pdf,1602481,93023,BOWNE OF PHOENIX INC,2003-06-30T00:00:00Z,Current report filing,2363666,135,8-K,/financials/sec-filings/sec-filings-details/default.aspx?FilingId=2363666,06/30/2003 10:03:43,NA,NA,CIK,0001069183
/Date(1537466378160-0500)/,CONVPDF,5039994,https://d18rn0p25nwr6d.cloudfront.net/CIK-0001069183/bc22dc6d-386d-4d0b-a2ca-e7c78609bc2f.pdf,1602497,93023,BOWNE OF PHOENIX INC,2003-04-22T00:00:00Z,Current report filing,2260927,135,8-K,/financials/sec-filings/sec-filings-details/default.aspx?FilingId=2260927,04/22/2003 07:01:27,NA,NA,CIK,0001069183
/Date(1537466374157-0500)/,CONVPDF,5039372,https://d18rn0p25nwr6d.cloudfront.net/CIK-0001069183/8cdd3958-554a-4665-9b85-01acb235e887.pdf,1602392,61160,BOWNE OF DETROIT INC,2004-11-08T00:00:00Z,Current report filing,3267255,135,8-K,/financials/sec-filings/sec-filings-details/default.aspx?FilingId=3267255,11/08/2004 13:31:38,NA,NA,CIK,0001069183
/Date(1537466374853-0500)/,CONVPDF,5039408,https://d18rn0p25nwr6d.cloudfront.net/CIK-0001069183/01a7c8a8-8733-4eb3-8ffe-8dcc69592e1b.pdf,1602398,61160,BOWNE OF DETROIT INC,2004-10-19T00:00:00Z,Current report filing,3228247,135,8-K,/financials/sec-filings/sec-filings-details/default.aspx?FilingId=3228247,10/19/2004 07:01:16,NA,NA,CIK,0001069183
/Date(1537466375080-0500)/,CONVPDF,5039450,https://d18rn0p25nwr6d.cloudfront.net/CIK-0001069183/44809c22-fa71-47e9-80a4-e34b4fd772f2.pdf,1602405,61160,BOWNE OF DETROIT INC,2004-07-20T00:00:00Z,Current report filing,3074423,135,8-K,/financials/sec-filings/sec-filings-details/default.aspx?FilingId=3074423,07/20/2004 05:10:39,NA,NA,CIK,0001069183
/Date(1537466375207-0500)/,CONVPDF,5039468,https://d18rn0p25nwr6d.cloudfront.net/CIK-0001069183/ebcdc06a-d972-4728-882c-c4f4714ce9de.pdf,1602408,93023,BOWNE OF PHOENIX INC,2004-06-24T00:00:00Z,Current report filing,3035728,135,8-K,/financials/sec-filings/sec-filings-details/default.aspx?FilingId=3035728,06/24/2004 16:31:19,NA,NA,CIK,0001069183
/Date(1537466375510-0500)/,CONVPDF,5039515,https://d18rn0p25nwr6d.cloudfront.net/CIK-0001069183/3a7bde68-cb7c-44b2-ae83-2b898823d889.pdf,1602416,61160,BOWNE OF DETROIT INC,2004-04-20T00:00:00Z,Current report filing,2905095,135,8-K,/financials/sec-filings/sec-filings-details/default.aspx?FilingId=2905095,04/20/2004 05:02:40,NA,NA,CIK,0001069183
/Date(1537466375550-0500)/,CONVPDF,5039521,https://d18rn0p25nwr6d.cloudfront.net/CIK-0001069183/bd16f3cc-90ba-4e00-aef6-b514e8733223.pdf,1602417,93023,BOWNE OF PHOENIX INC,2004-04-16T00:00:00Z,Current report filing,2902594,135,8-K,/financials/sec-filings/sec-filings-details/default.aspx?FilingId=2902594,04/16/2004 16:26:26,NA,NA,CIK,0001069183
/Date(1537466376087-0500)/,CONVPDF,5039668,https://d18rn0p25nwr6d.cloudfront.net/CIK-0001069183/9cfb7773-c28e-4dd3-bdfb-81d373b3e14c.pdf,1602442,93023,BOWNE OF PHOENIX INC,2004-02-06T00:00:00Z,Current report filing,2739100,135,8-K,/financials/sec-filings/sec-filings-details/default.aspx?FilingId=2739100,02/06/2004 12:54:48,NA,NA,CIK,0001069183
/Date(1537466376120-0500)/,CONVPDF,5039674,https://d18rn0p25nwr6d.cloudfront.net/CIK-0001069183/f52ef200-bfe5-4bdd-975e-e99556f28be0.pdf,1602443,93023,BOWNE OF PHOENIX INC,2004-02-02T00:00:00Z,Current report filing,2725792,135,8-K,/financials/sec-filings/sec-filings-details/default.aspx?FilingId=2725792,02/02/2004 15:32:41,NA,NA,CIK,0001069183
/Date(1537466376180-0500)/,CONVPDF,5039680,https://d18rn0p25nwr6d.cloudfront.net/CIK-0001069183/62c1a3f2-81c0-420c-92ac-d9277eed0f83.pdf,1602444,93023,BOWNE OF PHOENIX INC,2004-01-23T00:00:00Z,Current report filing,2708400,135,8-K,/financials/sec-filings/sec-filings-details/default.aspx?FilingId=2708400,01/23/2004 15:20:40,NA,NA,CIK,0001069183
